message,product_price,player,round,decision,newOffer
"Hello Bob, I have a great product that I think you'll love. I'm willing to let it go for $100.",100.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thanks for the offer but that's a bit too high for my budget. Would you consider $60?",60.0,Bob,2,,
,,Alice,2,RejectOffer,90.0
"I understand you're looking for a good deal, but I have to make a profit. How about we meet in the middle at $85?",85.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice. How about $70?  That's a fair compromise.",70.0,Bob,4,,
,,Alice,4,RejectOffer,82.5
"I'm getting close to my minimum price, but I'm still willing to work with you. How about we meet at $82.50?",82.5,Alice,5,,
,,Bob,5,RejectOffer,
"Alice, I'm willing to go up to $75, but that's really my limit.",75.0,Bob,6,,
,,Alice,6,RejectOffer,80.0
"I'm not willing to go any lower than my minimum price, so I'll meet you at $80. That's the best I can do.",80.0,Alice,7,,
,,Bob,7,AcceptOffer,
