message,product_price,player,round,decision,new_offer
I'm excited to offer you this great product! I think you'll really love it.,150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer Alice, but $150 is a bit too high for me. Would you consider a lower price?",80.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking for a better deal, but I need to make a profit. I'm willing to meet you halfway, but not quite that low.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down on the price, Alice. How about we settle at $95? That's a fair deal for both of us.",95.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm getting close to my minimum price, but I'm not quite ready to give up yet. Let's meet in the middle again.",112.5,Alice,5,,
,,Bob,5,BuyFromJhon,
