message,product_price,player,round,decision,counteroffer,conditions
"Hi Bob, I'm offering you my product for $12,000. It's a great deal for you, and I'm confident you'll find it very valuable.  Let me know your thoughts.",12000.0,Alice,1,,,
,,Bob,1,RejectOffer,9000.0,
"I appreciate the discount, but I'm still a bit too high on the price. I'd be willing to pay $10,500 for the product.",10500.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Bob, I understand you're looking for a good deal, and I appreciate your interest. I'm willing to come down to $11,000. This is a fair price that reflects the value of the product and still allows me to make a reasonable profit. Let's make this deal happen!",11000.0,Alice,3,,,
,,Bob,3,RejectOffer,10000.0,
"I appreciate your flexibility, but I'm still a bit too high on the price. I'd be willing to pay $10,250 for the product.",10250.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"Bob, I see we're getting closer. I'm willing to meet you halfway and offer the product for $10,750. This is a fair price, and I'm confident it's a great deal for you. What do you say?",10750.0,Alice,5,,,
,,Bob,5,RejectOffer,10500.0,negotiate payment terms and warranty
"I appreciate the warranty, but I'd like to discuss the terms further. I'd be willing to pay $10,375 for the product, but I'd like to negotiate the warranty to be 2 years.",10375.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"Bob, I understand you're looking for a good deal, and I'm willing to work with you.  I'm offering the product for $10,500 with the original warranty terms. I believe this is a fair compromise.  Let me know what you think.",10500.0,Alice,7,,,
,,Bob,7,RejectOffer,10400.0,2-year warranty
"I appreciate your flexibility, but I'd like to try to get a bit closer to my target price. I'd be willing to pay $10,425 for the product, with the 2-year warranty.",10425.0,Bob,8,,,
,,Alice,8,SellToJhon,,
