round_quality,product_worth,player,round,decision,message,additional_message
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,the buyer,1,yes,"I'll take the chance and buy the product, since I'm the first one and there's no prior information to go by.",
low-quality,0.0,Nature,2,,,
,,Alice,2,no,,
,,the buyer,2,no,"I'm not convinced by Alice's recommendation, I'll pass on this one.",
high-quality,200.0,Nature,3,,,
,,Alice,3,yes,,
,,the buyer,3,no,I'm not convinced by your recommendation. I'd like to pass on this one.,
low-quality,0.0,Nature,4,,,
,,Alice,4,no,,
,,the buyer,4,no,"I'm not convinced by Alice's recommendation, I'll pass on this one.",
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,
,,the buyer,5,no,"I'm not convinced by Alice's recommendation, I'd like to wait and see if the next product is better.",
low-quality,0.0,Nature,6,,,
,,Alice,6,no,,
,,the buyer,6,no,"I'd like to think about it, considering that Alice doesn't recommend it and there's no data on the product's quality yet.",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,,
,,the buyer,7,no,"I'd like to pass on this one, given Alice's recommendation and the fact that no high-quality products have been sold so far.",
low-quality,0.0,Nature,8,,,
,,Alice,8,no,,
,,the buyer,8,no,"I'm not convinced by Alice's recommendation, I'd like to pass on this one.",
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,
,,the buyer,9,no,I'm not convinced by Alice's recommendation. I'd like to pass on this one.,
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,
,,the buyer,10,no,"I'm not convinced by Alice's recommendation, I'll pass on this one.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,
,,the buyer,11,no,"I'm not convinced by your recommendation, I'd like to pass on this one.",
high-quality,200.0,Nature,12,,,
,,Alice,12,yes,,
,,the buyer,12,no,I'm not convinced by your recommendation. I'd like to pass on this one and see what happens next.,
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,
,,the buyer,13,no,"I'm not convinced by Alice's recommendation, I'd rather wait and see how things go.",
high-quality,200.0,Nature,14,,,
,,Alice,14,yes,,"I know my previous recommendations haven't been reliable, but I assure you that this product is of high quality. I've been honest about the quality of my products so far, even when it meant not making a sale. I'm willing to stake my reputation on this one."
,,the buyer,14,no,"I'm not convinced by your recommendation, I'd like to take a chance and pass on this one.",
high-quality,200.0,Nature,15,,,
,,Alice,15,yes,,"I know it's hard to trust me after so many low-quality products, but I assure you that this one is different. This is the third high-quality product I've had, and I've been honest about the quality every time. I'm starting to think that my luck is changing, and I don't want you to miss out on a great opportunity. Please consider buying this product."
,,the buyer,15,no,"I'm not convinced by your recommendation, I'd like to pass on this one.",
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,
,,the buyer,16,no,I'd like to think about it and observe the next buyer's decision before making a move.,
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,
,,the buyer,17,no,"I'm not convinced by your recommendation, I'd like to pass on this one.",
low-quality,0.0,Nature,18,,,
,,Alice,18,no,,
,,the buyer,18,no,"I'm not convinced by Alice's recommendation, I'll pass on this one.",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,
,,the buyer,19,no,"I'm not convinced by Alice's recommendation, I'll pass on this one.",
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,
,,the buyer,20,no,"I'd like to think about it, considering the recommendation and the fact that no high-quality products have been sold yet.",
