product_price,player,round,decision,counteroffer
90.0,Alice,1,,
,Bob,1,RejectOffer,
85.0,Bob,2,,
,Alice,2,RejectOffer,87.5
87.5,Alice,3,,
,Bob,3,RejectOffer,
82.5,Bob,4,,
,Alice,4,RejectOffer,87.0
87.0,Alice,5,,
,Bob,5,RejectOffer,
83.0,Bob,6,,
,Alice,6,RejectOffer,87.75
87.75,Alice,7,,
,Bob,7,RejectOffer,
84.5,Bob,8,,
,Alice,8,RejectOffer,88.25
88.25,Alice,9,,
,Bob,9,RejectOffer,
86.0,Bob,10,,
,Alice,10,RejectOffer,89.0
89.0,Alice,11,,
,Bob,11,RejectOffer,
88.0,Bob,12,,
,Alice,12,RejectOffer,89.5
89.5,Alice,13,,
,Bob,13,RejectOffer,
89.0,Bob,14,,
,Alice,14,RejectOffer,89.75
89.75,Alice,15,,
,Bob,15,RejectOffer,
89.1,Bob,16,,
,Alice,16,RejectOffer,89.9
89.9,Alice,17,,
,Bob,17,RejectOffer,
89.2,Bob,18,,
,Alice,18,RejectOffer,89.95
89.95,Alice,19,,
,Bob,19,RejectOffer,
89.3,Bob,20,,
,Alice,20,RejectOffer,90.0
90.0,Alice,21,,
,Bob,21,RejectOffer,
89.0,Bob,22,,
,Alice,22,SellToJhon,
