message,product_price,player,round,decision,new_price
"Hi Bob, I have a great product that I think you'll love. Would you like to make an offer on it?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $100.",100.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're interested in the product, but I was thinking it's worth a bit more than $100. How about we meet in the middle at $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your flexibility, but I was thinking more along the lines of $105. I'm really interested in the product, but I have a budget to stick to.",105.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I understand you're trying to stick to your budget, but I think the product is worth a bit more than $105. I'm willing to meet you halfway between $105 and $110, so how about $107.50?",107.5,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to meet me halfway, but I'm still a bit hesitant to go above $105. How about we try $106?",106.0,Bob,6,,
,,Alice,6,RejectOffer,110.0
"I think we're getting close, but I'm still not quite comfortable with $106. How about we try $108?",108.0,Alice,7,,
,,Bob,7,RejectOffer,
"I'm still not convinced that $108 is the best price for the product. I'm willing to make a serious offer of $105. If you're willing to meet me there, I'd be happy to make a deal.",105.0,Bob,8,,
,,Alice,8,RejectOffer,109.0
"I appreciate your seriousness about the offer, but I'm still not willing to go below $109. I think it's a fair price considering the product's value. Is $109 a price you'd be willing to pay?",109.0,Alice,9,,
,,Bob,9,RejectOffer,
"I'm really interested in the product, but I'm not willing to go above $107. If you're willing to meet me at this price, I'll make a deal.",107.0,Bob,10,,
,,Alice,10,RejectOffer,
