message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you a fantastic product that I think you'll love. Would you like to make a deal?",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested, but I'm hoping to get a better price. How about $125? I'm sure we can find a price that works for both of us.",125.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I appreciate your interest in the product, Bob. I'm willing to meet you halfway, but I need to make a profit. How about $137.50?",137.5,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate you meeting me halfway, but $137.50 is still a bit more than I'm comfortable with. How about $130? It's a fair price for both of us.",130.0,Bob,4,,
,,Alice,4,RejectOffer,135.0
"I understand you're looking for a fair price, Bob, but I need to make sure I get a good deal too. How about we meet at $132.50?",132.5,Alice,5,,
,,Bob,5,AcceptOffer,
