message,product_price,player,round,decision,new_offer
"Hello Bob, I have a great product for you! I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! I'm interested in the product, but $120 is a bit steep for me. How about we meet in the middle at $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I appreciate your offer, Bob, but I'm not quite comfortable going as low as $100. How about we meet in the middle of my original offer and your offer at $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I understand, Alice. I'm trying to stick to a tight budget. Would you consider $105 as my final offer?",105.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I appreciate your persistence, Bob! I'm willing to meet you halfway between $105 and $120, which is $112.50. Would you be willing to go that high?",112.5,Alice,5,,
,,Bob,5,AcceptOffer,
