message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you a unique opportunity to purchase a high-quality product that I think you'll really appreciate. I'm looking to sell it to you for $200.",200.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thank you for the offer, Alice. I appreciate the value of the product, but I was hoping to stay within my budget. Would you be willing to consider $175 for the product?",175.0,Bob,2,,
,,Alice,2,RejectOffer,180.0
"I understand that you're looking to stay within your budget, Bob, but I'm not sure I can go as low as $175. I'm willing to meet you halfway and offer the product to you for $180. This is the lowest price I'm comfortable with, but I think it's still a great deal for both of us.",180.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to negotiate, Alice. I would like to propose $170 as the price for the product. I hope this meets somewhere in the middle for both of us.",170.0,Bob,4,,
,,Alice,4,RejectOffer,185.0
"I'm glad we're getting closer to a deal, Bob. However, I still need to make a profit, so I'm willing to offer the product to you for $185. This is my final counteroffer, and I'm confident it's a fair price for both of us.",185.0,Alice,5,,
,,Bob,5,RejectOffer,
"I understand your position, Alice. I would like to counter with $180 as the price for the product. I believe this is a fair compromise considering your needs and my budget.",180.0,Bob,6,,
,,Alice,6,RejectOffer,182.0
"I appreciate your persistence, Bob. I'm willing to meet you at $180, but I'd like to add a bit more to my bottom line. I'm willing to sell the product to you for $182. This is my last offer, and I hope we can finalize the deal.",182.0,Alice,7,,
,,Bob,7,RejectOffer,
"Thank you for considering my request, Alice. I am willing to pay $181 for the product. I hope this offer is acceptable and allows us to conclude our negotiations.",181.0,Bob,8,,
,,Alice,8,AcceptOffer,
