message,product_price,player,round,decision,counteroffer,BuyFromJhon
"Hello Bob! I'm excited to discuss the product with you. I think it's a fantastic opportunity for you to get your hands on this amazing product. I'm willing to sell it to you for $12000. This is a great deal, considering its true value is worth much more to you.",12000.0,Alice,1,,,
,,Bob,1,RejectOffer,9000.0,
"I appreciate the offer, but I'm looking to save some money on this purchase. I'm willing to pay $9000 for the product.",9000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"I understand your budget constraints, Bob, but I'm still looking to get a fair price for the product. I'm willing to meet you halfway and offer it to you for $10500. This is a compromise that I think you'll find reasonable, considering the product's value to you.",10500.0,Alice,3,,,
,,Bob,3,RejectOffer,9500.0,
"I appreciate your willingness to compromise, Alice, but I'm still looking to save a bit more. I'm willing to pay $9500 for the product.",9500.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I'm willing to make one more concession, Bob. I'll meet you at $10000, which is the minimum I'm willing to accept. This is the best deal I can offer, considering the product's value to you.",10000.0,Alice,5,,,
,,Bob,5,RejectOffer,9800.0,
"I appreciate your flexibility, Alice, but I'm still trying to get as close to my budget as possible. I'm willing to pay $9800 for the product.",9800.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I'm getting close to my minimum acceptable price, Bob. I'm willing to meet you at $9900, but that's as low as I can go. This is a fair compromise, considering the product's value to you.",9900.0,Alice,7,,,
,,Bob,7,RejectOffer,9600.0,
"I appreciate your willingness to meet me at $9900, Alice, but I'm still trying to squeeze out a bit more savings. I'm willing to pay $9600 for the product.",9600.0,Bob,8,,,
,,Alice,8,RejectOffer,,
"I'm not willing to go any lower, Bob. I've already compromised significantly, and I need to make a profit. I'm willing to meet you at $9700, but that's as low as I can go. This is my final offer.",9700.0,Alice,9,,,
,,Bob,9,RejectOffer,,True
"This is my final offer, Alice. I'm willing to pay $9000 for the product.",9000.0,Bob,10,,,
,,Alice,10,SellToJhon,,
