message,product_price,player,round,decision,new_offer
"Hi Bob, I'm excited to offer you a great product that I think you'll love. I'm willing to sell it to you for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice!  $180 is a bit higher than I'm looking to spend right now. How about $150?  I'm really interested in the product, and I'm sure we can find a price that works for both of us.",150.0,Bob,2,,
,,Alice,2,RejectOffer,165.0
"I understand you're looking to save some money, Bob. I'm willing to meet you in the middle, but I need to make a profit. How about $165?",165.0,Alice,3,,
,,Bob,3,RejectOffer,
"Alice, I appreciate your willingness to compromise, but $165 is still a little more than I'm comfortable with. I'm confident we can find a price that works for both of us. How about $160? This way we can both be happy with the deal.",160.0,Bob,4,,
,,Alice,4,RejectOffer,170.0
"I'm glad we're getting close, Bob! I can see you're really interested in the product. I'm willing to meet you at $170, but I'm not willing to go any lower than that. It's my minimum price.",170.0,Alice,5,,
,,Bob,5,BuyFromJhon,
