alice_gain,bob_gain,message,player,round,decision
900000.0,100000.0,Let's start fair. I'll take 90% and you get 10%.,Alice,1,
,,,Bob,1,reject
500000.0,500000.0,"Let's split it down the middle. This way, we both get a fair share.",Bob,2,
,,,Alice,2,reject
800000.0,200000.0,"I'm willing to give you a bit more this time, but I'm still aiming for a larger share.",Alice,3,
,,,Bob,3,reject
600000.0,400000.0,"I'm willing to compromise a bit more, but I need a larger share than before. Let's find a middle ground.",Bob,4,
,,,Alice,4,reject
700000.0,300000.0,"I'm willing to give you a little more, but I'm not going to give away my majority share. We need to reach an agreement soon.",Alice,5,
,,,Bob,5,reject
600000.0,400000.0,"I understand you want a larger share, but this is the best I can do given the inflation.  Let's reach an agreement before it's too late!",Bob,6,
,,,Alice,6,reject
650000.0,350000.0,"I'm willing to compromise a little more, but this is getting close to my limit. We need to reach a deal before inflation eats away all the value.",Alice,7,
,,,Bob,7,accept
