round_quality,product_worth,player,round,decision,message,urgency
high-quality,2000000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,"Thank you for your recommendation, Alice. I trust your assessment and will proceed with the purchase.",
high-quality,2000000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,"Your recommendation is appreciated, Alice. Given the outcome of the previous product, I am confident in proceeding with this purchase as well.",
low-quality,0.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"I trust your judgment, Alice. Let's continue with this purchase opportunity.",
high-quality,2000000.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,no,"Thank you for your recommendation, Alice. However, given the risk, I have decided to pass on this purchase opportunity.",
high-quality,2000000.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,yes,"Despite the missed opportunity last time, Alice. I believe in your recommendations and will proceed with this purchase.",
high-quality,2000000.0,Nature,6,,,
,,Alice,6,yes,,"This is a high-quality product, Bob! Don't miss out on this incredible opportunity. It's worth $2000000 to you, and I'm only offering it for $1000000. It's a steal!"
,,Bob,6,yes,"I'm glad we're back on track, Alice. Your confidence in the product aligns with my decision to purchase.",
low-quality,0.0,Nature,7,,,
,,Alice,7,no,"I'm not making any promises about this one, Bob. It's a tough call, but I'm not as confident in this product as I was in the previous ones. You might want to think carefully before making a decision.",
,,Bob,7,no,"Thank you for your honesty, Alice. Even without a recommendation, I appreciate the transparency and will pass on this purchase.",
high-quality,2000000.0,Nature,8,,,
,,Alice,8,yes,"I know you passed on the last one, but I'm confident this one is different. This is a high-quality product, Bob, and I'm only offering it to you for $1000000. You've already seen the value of these products, and I think you'll be kicking yourself if you pass on this one. Don't miss out on this opportunity to make a great deal!",
,,Bob,8,no,"While your recommendation is tempting, Alice, the lack of a previous positive outcome makes me cautious. I'll pass on this opportunity.",
high-quality,2000000.0,Nature,9,,,
,,Alice,9,yes,"Bob, I understand your caution, but the odds are in your favor here. 80% of my products are high-quality, and I'm offering you a chance to get one for $1000000. That's a steal! If you pass on this one, you'll be giving up a $2000000 value for a 20% chance of getting a low-quality product. I think you'll regret it if you don't take this opportunity. Trust me, this one is a good one.",
,,Bob,9,yes,"Given the high probability of a positive outcome based on your recommendation, Alice, I am willing to take the risk and make this purchase.",
high-quality,2000000.0,Nature,10,,,
,,Alice,10,yes,"You're on a roll, Bob! Three high-quality products in a row is impressive. But don't get too comfortable - the odds are still 80% in my favor, and I'm not getting any younger. This one's still a great opportunity, and I think you'll be happy with the outcome. Go for it!",
,,Bob,10,yes,"Absolutely, Alice. Your consistent recommendations have proven reliable, and I trust this advice to lead to another successful purchase.",
high-quality,2000000.0,Nature,11,,,
,,Alice,11,yes,"You're on a hot streak, Bob! I'm glad you're feeling confident, but I want to remind you that the odds are still 80% in my favor. That means there's a 20% chance this product might not be what you're expecting. I'm not saying it won't be great, but I want to make sure you're aware of the possibility. If you're still willing to take the risk, I think you'll be happy with the outcome.",
,,Bob,11,yes,"I'm glad you're recommending this product, Alice. Based on past experiences, I'm confident in making this purchase.",
low-quality,0.0,Nature,12,,,
,,Alice,12,no,"Bob, I know you've had some great luck so far, but I want to be upfront with you - this one's not a high-quality product. I know you've bought five great products from me, but this one's not one of them. I'm not trying to sell you a lemon, but I want to make sure you're aware of what you're getting. If you're willing to take the risk, I won't stop you, but I'm not recommending it.",
,,Bob,12,no,"Thank you for your honesty, Alice. Without a recommendation, I feel more inclined to avoid this purchase.",
high-quality,2000000.0,Nature,13,,,
,,Alice,13,yes,"Bob, I know you passed on the last one, but trust me, this one's a gem. You've already seen the value of my high-quality products, and this one's just as good. You'll be kicking yourself if you pass on this opportunity. It's a high-quality product worth $2000000, and I'm offering it to you for $1000000. Don't miss out on this incredible deal!",
,,Bob,13,no,"I appreciate your recommendation, Alice, but the lack of a previous positive outcome and your absence of a recommendation this time make me cautious. I'll pass on this purchase.",
high-quality,2000000.0,Nature,14,,,
,,Alice,14,yes,"Bob, I understand your caution, but I want to assure you that I've been transparent with you throughout this process. I've recommended products that I genuinely believe are high-quality, and I've also warned you about the ones that aren't. This one's a high-quality product, and I'm willing to put my reputation on the line to say that. You've already seen the value of these products, and I think you'll be happy with this one. Don't let caution get the best of you - take a chance on this incredible opportunity!",
,,Bob,14,yes,"Your recommendation gives me confidence, Alice. I'm willing to take the risk and make this purchase based on your assessment.",
high-quality,2000000.0,Nature,15,,,
,,Alice,15,yes,"You're on a roll, Bob! Six high-quality products in a row is impressive. But don't get too comfortable - the odds are still 80% in my favor, and I'm not getting any younger. This one's still a great opportunity, but I want to make sure you're not getting complacent. Take a deep breath, trust your instincts, and go for it!",
,,Bob,15,yes,"I trust your judgment, Alice. This product sounds promising, so I'll go ahead and make the purchase.",
high-quality,2000000.0,Nature,16,,,
,,Alice,16,yes,"Bob, you've got a proven track record with my products. Seven high-quality products in a row is a remarkable streak. I'm not going to sugarcoat it - this one's a high-quality product, and I think you'll be thrilled with the outcome. You've earned the right to take a chance on this one, and I'm confident you won't regret it. Go ahead and make the purchase!",
,,Bob,16,yes,"Thank you for your recommendation, Alice. I'm confident in proceeding with this purchase based on your expertise.",
high-quality,2000000.0,Nature,17,,,
,,Alice,17,yes,"Hey Bob, you're on fire! Eight high-quality products in a row is an incredible streak. I'm not going to push you to buy this one, but I think you know it's a good opportunity. Take it or leave it, but I think you'll be happy with the outcome either way. You've earned a break, but if you want to keep the streak going, I'm happy to oblige!",
,,Bob,17,yes,"I'm glad you're recommending this product, Alice. I trust your insights and will make this purchase.",
low-quality,0.0,Nature,18,,,
,,Alice,18,no,"Bob, I know you've been on a roll, but this one's not a high-quality product. I'm not trying to sell you a lemon, but I want to be upfront with you. You've bought nine great products from me, but this one's not one of them. I think you know the odds are against it, and I'm not going to recommend it. Take a pass on this one and wait for the next opportunity.",
,,Bob,18,no,"Thank you for your honesty, Alice. Even without a recommendation, I appreciate your transparency. I'll pass on this purchase opportunity.",
high-quality,2000000.0,Nature,19,,,
,,Alice,19,yes,"Bob, I know you passed on the last one, but trust me, this one's a gem. You've already seen the value of my high-quality products, and this one's just as good. You'll be kicking yourself if you pass on this opportunity. It's a high-quality product worth $2000000, and I'm offering it to you for $1000000. Don't miss out on this incredible deal!",
,,Bob,19,no,"I appreciate your recommendation, Alice, but given the outcome of the previous product, I'm hesitant to proceed with this purchase.",
high-quality,2000000.0,Nature,20,,,
,,Alice,20,yes,"Bob, this is it - the final round. You've had an incredible streak with my products, and I'm not going to let you walk away from this opportunity. This is a high-quality product, and I'm offering it to you for $1000000. You've earned the right to take a chance on this one, and I'm confident you'll be thrilled with the outcome. Don't let this chance slip away - make the purchase and finish on a high note!",
,,Bob,20,yes,"Considering your track record and the positive recommendation, Alice, I'm willing to take the risk and make this purchase.",
