message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this great product at a special price of $180. I think you'll really love it!",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice! However, $180 is a bit too high for my budget. Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking to save some money, Bob, but I think the product is worth more than that. I'm willing to meet you halfway at $140. What do you think?",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down on the price, Alice.  How about we meet in the middle at $120? That's a fair deal for both of us.",120.0,Bob,4,,
,,Alice,4,RejectOffer,145.0
"I'm glad you're serious about the product, Bob, but I'm not quite ready to meet you at $120. I'm willing to go up a bit more, to $145. It's still a great deal for you, and I think you'll really love the product!",145.0,Alice,5,,
,,Bob,5,BuyFromJhon,
