message,product_price,player,round,decision,new_price
"Hi Bob, I'm excited to offer you this great product. I think you'll really love it!",90.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested but $90 is a bit steep for me. Would you consider $70?",70.0,Bob,2,,
,,Alice,2,RejectOffer,85.0
"I understand you're looking for a good deal, Bob. I can do $82.50 for you. It's a fair price considering the value the product brings to you.",82.5,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice.  How about we split the difference and meet at $76?",76.0,Bob,4,,
,,Alice,4,RejectOffer,80.0
"I like your thinking, Bob, but I'm not quite ready to meet you at $76. I can do $79 for you, and that's as low as I can go.",79.0,Alice,5,,
,,Bob,5,AcceptOffer,
