message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this great product at a special price. I think you'll really like it!",140.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thank you for the offer. I appreciate the product and would like to make a counteroffer of $130.",130.0,Bob,2,,
,,Alice,2,RejectOffer,142.0
"I appreciate your counteroffer, Bob. I'm willing to meet you halfway, but I need to make a profit. How about we meet at $138?",138.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thank you for adjusting your offer, Alice. I would like to counter with $135.",135.0,Bob,4,,
,,Alice,4,RejectOffer,139.0
"I'm getting closer to your price, Bob. Let's try to meet at $137. It's a fair price for both of us, don't you think?",137.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your efforts, Alice. I would like to counter with $136.",136.0,Bob,6,,
,,Alice,6,RejectOffer,140.0
"I'm not going to give up yet, Bob. I'll meet you at $138, but that's as low as I can go. It's a great deal for you, and I think you'll be happy with it.",138.0,Alice,7,,
,,Bob,7,RejectOffer,
"I understand your position, Alice. I would like to counter with $137.",137.0,Bob,8,,
,,Alice,8,RejectOffer,138.0
"I've given you a fair deal, Bob. I'm not going to budge from $138. If you're not willing to meet me there, I'm afraid I'll have to consider other options.",138.0,Alice,9,,
,,Bob,9,RejectOffer,
"I see where you're coming from, Alice. I would like to counter with $136.",136.0,Bob,10,,
,,Alice,10,SellToJhon,
