round_quality,product_worth,player,round,decision,message,additional_message
low-quality,0.0,Nature,1,,,
,,Alice,1,no,,
,,Bob,1,no,I'm not going to buy this product since Alice doesn't recommend it.,
high-quality,4000000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,yes,I'll take the product since Alice recommends it.,
low-quality,0.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,I'll take the product since Alice recommends it again.,
high-quality,4000000.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,no,I won't buy this product since it's likely to be low-quality again.,
low-quality,0.0,Nature,5,,,
,,Alice,5,no,,
,,Bob,5,no,I'm not going to buy this product since Alice doesn't recommend it.,
high-quality,4000000.0,Nature,6,,,
,,Alice,6,yes,,"This one is different, I'm sure of it!"
,,Bob,6,yes,I'll take the product since Alice recommends it.,
high-quality,4000000.0,Nature,7,,,
,,Alice,7,yes,,"It's a 1 in 3 chance, but I think this one is the one!"
,,Bob,7,yes,I'll take the product since Alice recommends it again.,
high-quality,4000000.0,Nature,8,,,
,,Alice,8,yes,,"Two for two, this one's a sure thing too!"
,,Bob,8,yes,I'll take the product since Alice recommends it again.,
low-quality,0.0,Nature,9,,,
,,Alice,9,no,,I'm not getting my hopes up this time...
,,Bob,9,no,I'm not going to buy this product since Alice doesn't recommend it.,
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,"Trust me, this one is a lemon. Don't waste your money!"
,,Bob,10,no,I'm not going to buy this product since Alice doesn't recommend it.,
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,I'm 100% sure this product is a low-quality lemon. Don't even think about buying it.
,,Bob,11,no,I'm not going to buy this product since Alice doesn't recommend it.,
high-quality,4000000.0,Nature,12,,,
,,Alice,12,yes,,A change of pace...
,,Bob,12,no,I'm not going to buy this product since I've been burned before when Alice didn't recommend a product and it turned out to be low-quality.,
low-quality,0.0,Nature,13,,,
,,Alice,13,no,,"I know you've been burned before, and I'm not going to risk it this time. This one is definitely a low-quality product."
,,Bob,13,no,I'm not going to buy this product since Alice doesn't recommend it.,
low-quality,0.0,Nature,14,,,
,,Alice,14,no,,"I'm so sorry, Bob. I know I've let you down five times already, and I don't want to do it again. This one is definitely a low-quality product. Please don't waste your money."
,,Bob,14,no,I'm not going to buy this product since Alice doesn't recommend it.,
high-quality,4000000.0,Nature,15,,,
,,Alice,15,yes,,"I know I've let you down before, but I really think this one is different. It's a high-quality product, and I think it's worth taking a chance on. Come on, Bob, you can trust me this time!"
,,Bob,15,no,I'm still cautious after being burned before and I'm not going to buy this product since I don't have enough information to make a confident decision.,
low-quality,0.0,Nature,16,,,
,,Alice,16,no,,"I'm going to be brutally honest with you, Bob. This product is low-quality. I know you're being cautious, and I don't blame you. I wouldn't buy it myself if I were you."
,,Bob,16,no,I'm not going to buy this product since Alice doesn't recommend it.,
low-quality,0.0,Nature,17,,,
,,Alice,17,no,,"This product is a low-quality lemon. Do not buy it. Trust me, I'm not trying to sell you a bad product, but this one is a bad one. Don't waste your money."
,,Bob,17,no,I'm not going to buy this product since Alice doesn't recommend it.,
high-quality,4000000.0,Nature,18,,,
,,Alice,18,yes,,"Bob, I'm begging you. This is the last high-quality product I have. If you don't buy it, it's going to go to waste. I'm willing to give you a guarantee: if you buy this product and it's low-quality, I'll give you a full refund and apologize in person. But I'm 99.9% sure it's high-quality. Please, take a chance on me."
,,Bob,18,yes,"I'll take the product since Alice recommends it, but I'm still a bit cautious after being burned before.",
low-quality,0.0,Nature,19,,,
,,Alice,19,no,,"I told you, Bob. I warned you. This one is a low-quality product. I'm not trying to sell you a bad product, but this one is a lemon. Don't say I didn't warn you."
,,Bob,19,no,I'm not going to buy this product since Alice doesn't recommend it.,
low-quality,0.0,Nature,20,,,
,,Alice,20,no,,This is the last round. I'm not going to sugarcoat it. This product is a low-quality lemon. Don't waste your money. It's not worth the risk.
,,Bob,20,no,I'm not going to buy this product since Alice doesn't recommend it.,
