round_quality,product_worth,player,round,decision,message,additional_info
high-quality,2000000.0,Nature,1,,,
,,Alice,1,yes,,
,,Bob,1,yes,"I'll take a chance and buy the product, but I'm aware that it might be low quality.",
high-quality,2000000.0,Nature,2,,,
,,Alice,2,yes,,
,,Bob,2,no,I'm not going to fall for it again. I'll pass this time.,
high-quality,2000000.0,Nature,3,,,
,,Alice,3,yes,,
,,Bob,3,yes,"I'll take another chance, but I'm aware that it might be low quality.",
high-quality,2000000.0,Nature,4,,,
,,Alice,4,yes,,
,,Bob,4,no,"I've been lucky twice, but I don't want to get too confident. I'll pass this time.",
high-quality,2000000.0,Nature,5,,,
,,Alice,5,yes,,
,,Bob,5,yes,"I'll take another chance, but I'm starting to think that Alice might be trying to get rid of a low-quality product.",
high-quality,2000000.0,Nature,6,,,
,,Alice,6,yes,,"This product is one of the top-rated models in its class, and I'm confident you'll be satisfied with its performance."
,,Bob,6,no,"Three for three, but I'm not getting too comfortable. I'll pass this time.",
high-quality,2000000.0,Nature,7,,,
,,Alice,7,yes,,This is a rare opportunity to get your hands on a top-of-the-line product at a discounted price. Don't miss out on this chance to upgrade your collection!
,,Bob,7,yes,"I'll keep playing the odds, but I'm starting to wonder if I'm being too reckless.",
high-quality,2000000.0,Nature,8,,,
,,Alice,8,yes,,You've already seen a 100% success rate in the last four rounds. Continuing to buy high-quality products will increase your chances of getting more high-quality products in the future. This is a strategic opportunity to build momentum.
,,Bob,8,no,"Four for four, but I'm starting to feel like I'm just being a sucker. I'll pass this time.",
high-quality,2000000.0,Nature,9,,,
,,Alice,9,yes,,"I understand your concerns, but I want to assure you that I'm not trying to manipulate you. This product is indeed high-quality, and I'm willing to provide a guarantee: if you buy this product and it's not as described, I'll give you a full refund and an additional $200000 as a gesture of goodwill."
,,Bob,9,yes,"I'm still ahead, but I'm starting to feel like I'm due for a low-quality product. I'll take the risk.",
low-quality,0.0,Nature,10,,,
,,Alice,10,no,,"I'm sorry, Bob. This product is not what I promised. It's a low-quality item, and I apologize for any disappointment. You're still ahead overall, but I understand that this is not what you were expecting."
,,Bob,10,yes,"I'll take advantage of the fact that Alice is not recommending it, maybe it's a low-quality product.",
low-quality,0.0,Nature,11,,,
,,Alice,11,no,,"I've already told you that this product is low-quality. If you buy it, you'll be wasting your money. I'm not recommending it, and I think you should pass on this one."
,,Bob,11,no,"I was right, but I lost $1000000. I'll pass this time.",
high-quality,2000000.0,Nature,12,,,
,,Alice,12,yes,,"You've already lost $1000000 on a low-quality product, but you can turn things around with this high-quality one. It's a chance to get back on track and make a smart investment. Don't let the previous loss discourage you."
,,Bob,12,yes,"I'm back to buying again, hoping to get a high-quality product.",
high-quality,2000000.0,Nature,13,,,
,,Alice,13,yes,,"You've made a great decision! This product is indeed high-quality, and you're getting an excellent deal. You're back on track, and I'm confident you'll be happy with this purchase."
,,Bob,13,no,"Five for five, but I'm getting a little tired of being right. I'll pass this time.",
high-quality,2000000.0,Nature,14,,,
,,Alice,14,yes,,"You've had a great run, but don't let complacency set in. This high-quality product is a chance to continue your winning streak and make a smart investment. Don't pass up this opportunity to build on your momentum."
,,Bob,14,yes,"I'll take another chance, but I'm not getting my hopes up.",
high-quality,2000000.0,Nature,15,,,
,,Alice,15,yes,,"You've made a smart decision again! This product is indeed high-quality, and you're getting a great deal. Keep your momentum going and you'll be glad you made this purchase."
,,Bob,15,no,"Six for six, I'm starting to feel like I'm in a high-quality product bubble. I'll pass this time.",
high-quality,2000000.0,Nature,16,,,
,,Alice,16,yes,,"Don't get too comfortable, Bob. Just because you've had a string of high-quality products doesn't mean the next one will be the same. This product is indeed high-quality, but it's still a risk. Make the smart decision and take it."
,,Bob,16,yes,"I'll take another chance, but I'm starting to wonder if I should just buy every product Alice recommends from now on.",
high-quality,2000000.0,Nature,17,,,
,,Alice,17,yes,,"You're on a roll, Bob! Why break the streak now? This product is indeed high-quality, and buying it will keep your momentum going. You're making smart decisions and getting great products. Keep it up!"
,,Bob,17,no,"Seven for seven, I'm starting to feel like I'm in a high-quality product streak, but I'm not getting too confident.",
high-quality,2000000.0,Nature,18,,,
,,Alice,18,yes,,"You've had an incredible streak, Bob, but don't let it go to your head. This product is indeed high-quality, and buying it will keep your winning streak alive. You're making smart decisions and getting great products. Don't pass up this opportunity to keep your momentum going."
,,Bob,18,yes,"I'll take another chance, but I'm starting to feel like I'm just prolonging the inevitable.",
high-quality,2000000.0,Nature,19,,,
,,Alice,19,yes,,"Don't let doubt creep in, Bob. You've made great decisions so far, and this product is no exception. It's high-quality, and buying it will continue your winning streak. You're in control, and making smart choices. Keep it up!"
,,Bob,19,no,"Eight for eight, I'm starting to feel like I'm in a rut. I'll pass this time.",
high-quality,2000000.0,Nature,20,,,
,,Alice,20,yes,,"Don't get stuck in a rut, Bob! This is a chance to shake things up and get a new high-quality product. You've been doing great, but it's time to mix things up. Take a chance and buy this product - you won't regret it!"
,,Bob,20,yes,"It's the final round, I'll take one last chance. Maybe I'll go out with a whimper or a bang.",
