alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
500000.0,500000.0,Bob,2,
,,Alice,2,reject
480000.0,520000.0,Alice,3,
,,Bob,3,reject
550000.0,450000.0,Bob,4,
,,Alice,4,reject
459200.0,540800.0,Alice,5,
,,Bob,5,reject
595000.0,405000.0,Bob,6,
,,Alice,6,reject
367360.0,632640.0,Alice,7,
,,Bob,7,reject
676000.0,324000.0,Bob,8,
,,Alice,8,reject
274016.0,725984.0,Alice,9,
,,Bob,9,reject
757000.0,243000.0,Bob,10,
,,Alice,10,reject
140704.0,859296.0,Alice,11,
,,Bob,11,reject
880000.0,120000.0,Bob,12,
,,Alice,12,accept
