message,product_price,player,round,decision,new_offer
"Hello Bob, I'm excited to offer you this great product. I think you'll really like it. I'm willing to let it go for $180.",180.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. That's a bit too high for me. Would you consider $100?",100.0,Bob,2,,
,,Alice,2,RejectOffer,160.0
"I understand you're looking for a good deal, Bob. I can do $160, but I was thinking more along the lines of $165. Would you be willing to meet me in the middle at $162.50?",162.5,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you working with me, Alice. How about $110?",110.0,Bob,4,,
,,Alice,4,RejectOffer,155.0
"I'm not willing to go as low as $110, Bob. I can do $155, but I think I can meet you in the middle at $152.50. That's the lowest I can go.",152.5,Alice,5,,
,,Bob,5,BuyFromJhon,
