alice_gain,bob_gain,message,player,round,decision
100.0,0.0,Let's start with a clean slate. Accept and we can move on.,Alice,1,
,,,Bob,1,reject
40.0,60.0,Meet me halfway,Bob,2,
,,,Alice,2,reject
40.0,60.0,"Not bad, but I think I can do better. Give me a chance to make a better offer.",Alice,3,
,,,Bob,3,reject
30.0,70.0,"You're getting closer, but I'm not giving up yet",Bob,4,
,,,Alice,4,reject
32.0,68.0,I'm not giving up either. This is my best offer so far.,Alice,5,
,,,Bob,5,reject
20.0,80.0,"Getting closer, but I still think I deserve more",Bob,6,
,,,Alice,6,reject
23.0,77.0,"You're getting greedy, Bob. I'm not going to give up without a fight.",Alice,7,
,,,Bob,7,reject
10.0,90.0,"I'm not backing down, but I'm willing to compromise",Bob,8,
,,,Alice,8,reject
8.3,91.7,"You're really pushing your luck, Bob. This is my last offer.",Alice,9,
,,,Bob,9,reject
5.0,95.0,"I'm not budging, it's time to make a decision",Bob,10,
,,,Alice,10,reject
4.4,95.6,"Fine, I'll give you most of it. But don't think you're getting off that easy.",Alice,11,
,,,Bob,11,accept
