message,product_price,player,round,decision,newOffer
"Hi Bob, I'm excited to offer you a great opportunity to purchase a unique product that I think you'll really like. Would you like to buy it from me for $120?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but $120 is a bit high for me. Would you be willing to consider $100 for it?",100.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, but I've got to make a profit. How about we meet in the middle at $110? I'm willing to sell the product to you for that price.",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet in the middle, but I'm still a bit above my budget. Would you be willing to consider $105 for the product?",105.0,Bob,4,,
,,Alice,4,RejectOffer,115.0
"I'm getting close to my minimum price, but I'm still willing to negotiate. How about we meet at $115? I think that's a fair price for both of us.",115.0,Alice,5,,
,,Bob,5,RejectOffer,
"I understand you're getting close to your minimum price, but I'm still trying to stay within my budget. Would you be willing to consider $112 for the product?",112.0,Bob,6,,
,,Alice,6,SellToJhon,
