message,product_price,player,round,decision,newOffer
"Hi Bob, I have a great product that I think you'll really like. I'm willing to let it go for $150.",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hi Alice, thanks for your offer. That price is a little too high for me. Would you consider $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I appreciate your offer, Bob, but I'm not sure I can go that low. I'm willing to meet you in the middle at $90.",90.0,Alice,3,,
,,Bob,3,RejectOffer,
"Hi Alice, I'm getting closer to what I can afford. How about $85?",85.0,Bob,4,,
,,Alice,4,RejectOffer,92.0
"I'm getting close to my minimum price, Bob. I can do $92, but that's as low as I can go.",92.0,Alice,5,,
,,Bob,5,BuyFromJhon,
