message,product_price,player,round,decision,newOffer
"Hi Bob, I'm excited to offer you this amazing product! I think you'll really love it. I'm willing to sell it to you for $120.",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer Alice, but that's a bit too steep for me. Would you consider $80?",80.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a better deal, Bob. I can do $100, which is my minimum price, but I'm willing to meet you in the middle. How about we say $105?",105.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice.  I'm trying to stick to a tight budget, how about $90?",90.0,Bob,4,,
,,Alice,4,RejectOffer,100.0
"I'm getting close to my minimum price, Bob. I can see you're serious about this product. I'm willing to make one more concession. How about we meet at $95?",95.0,Alice,5,,
,,Bob,5,AcceptOffer,
