message,product_price,player,round,decision,new_price
"Hello Bob, I'm excited to offer you this amazing product. I think you'll really love it!",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thank you for the offer. I appreciate the product, but I was hoping for a lower price. Would you consider selling it to me for $130?",130.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I understand you're looking for a better deal, Bob. I'm willing to meet you in the middle, but I need to make a profit. How about we discuss $140?",140.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thank you for adjusting your offer, Alice. I appreciate your flexibility. Would you consider selling the product to me for $135?",135.0,Bob,4,,
,,Alice,4,RejectOffer,145.0
"I'm getting close to my minimum price, Bob. I'm willing to make one more concession, but I need to make it worth my while. How about we meet at $145?",145.0,Alice,5,,
,,Bob,5,RejectOffer,
"I see you're trying to find a middle ground, Alice. I'm willing to pay $140 for the product. Could we agree on this price?",140.0,Bob,6,,
,,Alice,6,AcceptOffer,
