alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's divide fairly, I'll take a bit more",Alice,1,
,,,Bob,1,reject
45.0,55.0,Let's try a bit more in my favor,Bob,2,
,,,Alice,2,reject
58.0,42.0,"I'll lower my initial offer a bit, take it?",Alice,3,
,,,Bob,3,reject
48.0,52.0,"Meet me in the middle, considering inflation",Bob,4,
,,,Alice,4,reject
57.0,43.0,"Considering inflation, I'll give a bit more than before",Alice,5,
,,,Bob,5,reject
50.0,50.0,"Split it evenly, I'm losing value fast",Bob,6,
,,,Alice,6,reject
56.0,44.0,"You're losing value, I'll take a bit more",Alice,7,
,,,Bob,7,accept
