message,product_price,player,round,decision,additional_fee
"Hi Bob, I'm offering you my product for $12,000. It's a great deal, and I know you'll find it very valuable. Let me know what you think!",12000.0,Alice,1,,
,,Bob,1,RejectOffer,
"I appreciate the offer, but I'm looking to save some money. I'm willing to pay $9,000 for the product. Is that something you'd be willing to accept?",9000.0,Bob,2,,
,,Alice,2,RejectOffer,
"Bob, I appreciate your counteroffer, but I'm still hoping to get closer to my desired price.  How about we split the difference and I offer it to you for $10,500? Let's try to make this work. ",10500.0,Alice,3,,
,,Bob,3,RejectOffer,
"I'm still a bit above my budget, so I'm willing to meet you halfway from $10,500. How about $9,750 for the product?",9750.0,Bob,4,,
,,Alice,4,RejectOffer,
"Bob, I understand you're working with a budget, but $9,750 is still a bit too low for me. Let's compromise again. I'm willing to come down to $10,250. What do you say?",10250.0,Alice,5,,
,,Bob,5,RejectOffer,
"I'm still interested in the product, but I need to stick to my budget. I'm willing to meet you at $9,750, and I'll also throw in an extra $100 as a gesture of goodwill. Can we make a deal at $9,750?",9750.0,Bob,6,,100.0
,,Alice,6,SellToJhon,
