message,product_price,player,round,decision,new_offer
"Hi Bob, I have a unique and valuable product that I think you'll be interested in. Would you like to make an offer for it?",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"Hello Alice, thank you for offering the product. I am interested, but I can only pay $120 for it.",120.0,Bob,2,,
,,Alice,2,RejectOffer,140.0
"I appreciate your interest in the product, Bob. I'm willing to meet you halfway, but I need to make a profit. I can offer it to you for $135. What do you think?",135.0,Alice,3,,
,,Bob,3,RejectOffer,
"Thank you for adjusting your offer, Alice. I would be willing to pay $130 for the product.",130.0,Bob,4,,
,,Alice,4,RejectOffer,142.0
"I'm getting close to my minimum price, Bob. I'm willing to make one more concession. I can offer it to you for $142, but that's as low as I can go. What do you think?",142.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to negotiate, Alice. Considering your last offer, I would like to propose $140 for the product.",140.0,Bob,6,,
,,Alice,6,RejectOffer,145.0
"I'm not willing to go any lower, Bob. I'm at my absolute minimum price. I can offer it to you for $145, but that's it. If you're not willing to meet me there, I'll have to explore other options.",145.0,Alice,7,,
,,Bob,7,RejectOffer,
"Considering the value I see in the product, I would like to propose $143 for the product.",143.0,Bob,8,,
,,Alice,8,RejectOffer,150.0
"I've made it clear what I'm willing to sell it for, Bob. I'm not budging from $150. If you're not willing to meet me there, I'll have to consider other options.",150.0,Alice,9,,
,,Bob,9,BuyFromJhon,
