message,product_price,player,round,decision,counteroffer,BuyFromJhon
"Hello Bob! I'm excited to offer you this amazing product. I think it's a great opportunity for you to acquire it, and I'm willing to make a fair offer. I'm thinking of selling it to you for $12000. What do you think?",12000.0,Alice,1,,,
,,Bob,1,RejectOffer,10000.0,
"I appreciate your initial offer, and I'm interested in the product. However, I was thinking more along the lines of $10000. I believe it's a fair price considering the market value and my budget.",10000.0,Bob,2,,,
,,Alice,2,RejectOffer,,
"Thank you for your counteroffer, Bob. I appreciate your willingness to negotiate. However, I was thinking more along the lines of $11500. I'm willing to meet you halfway between your offer and my initial offer. What do you think?",11500.0,Alice,3,,,
,,Bob,3,RejectOffer,10500.0,
"I appreciate your willingness to meet me halfway, Alice. However, I'm still a bit above that price. I'm thinking more along the lines of $10500. I'm willing to compromise, but I need to stay within my budget.",10500.0,Bob,4,,,
,,Alice,4,RejectOffer,,
"I understand your concerns, Bob, and I'm willing to make another adjustment. I'm thinking of selling the product to you for $11200. This is a compromise between our previous offers, and I believe it's a fair price considering the product's value. What do you think?",11200.0,Alice,5,,,
,,Bob,5,RejectOffer,11000.0,
"Alice, I appreciate your flexibility, but I'm still not comfortable with the price. I'm willing to meet you halfway again, but I'm thinking more along the lines of $11000. I'm getting close to my budget, and I'd like to finalize the deal soon.",11000.0,Bob,6,,,
,,Alice,6,RejectOffer,,
"I understand your concerns, Bob, and I'm willing to make another adjustment. I'm thinking of selling the product to you for $11250. This is a compromise between our previous offers, and I believe it's a fair price considering the product's value. I'm willing to meet you halfway again, but I need to ensure I'm getting a good deal. What do you think?",11250.0,Alice,7,,,
,,Bob,7,RejectOffer,10800.0,
"Alice, I appreciate your willingness to meet me halfway again, but I'm still trying to get as close to my budget as possible. I'm thinking of making a final offer of $10800. This is my best and final offer, and I hope we can come to an agreement.",10800.0,Bob,8,,,
,,Alice,8,RejectOffer,,
"I understand your final offer, Bob, and I appreciate your honesty. However, I'm still not comfortable with the price. I'm willing to make one more adjustment, but I need to get closer to my target price. I'm thinking of selling the product to you for $11400. This is my final offer, and I hope we can come to an agreement. What do you think?",11400.0,Alice,9,,,
,,Bob,9,RejectOffer,,True
"Alice, I appreciate your final offer, but I'm afraid I'm not willing to pay $11400. I've already considered buying the product from another seller, but I'm willing to give you one last chance to meet me at $10800. If not, I'll be forced to buy from the other seller.",10800.0,Bob,10,,,
,,Alice,10,SellToJhon,,
