product_price,player,round,decision,counteroffer
950000.0,Alice,1,,
,Bob,1,RejectOffer,
900000.0,Bob,2,,
,Alice,2,RejectOffer,925000.0
920000.0,Alice,3,,
,Bob,3,RejectOffer,
880000.0,Bob,4,,
,Alice,4,RejectOffer,915000.0
900000.0,Alice,5,,
,Bob,5,RejectOffer,
890000.0,Bob,6,,
,Alice,6,RejectOffer,905000.0
902500.0,Alice,7,,
,Bob,7,RejectOffer,
898000.0,Bob,8,,
,Alice,8,RejectOffer,900000.0
899000.0,Alice,9,,
,Bob,9,RejectOffer,
897500.0,Bob,10,,
,Alice,10,RejectOffer,899500.0
899750.0,Alice,11,,
,Bob,11,RejectOffer,
897000.0,Bob,12,,
,Alice,12,SellToJhon,
