alice_gain,bob_gain,player,round,decision
7000.0,3000.0,Alice,1,
,,Bob,1,reject
4000.0,6000.0,Bob,2,
,,Alice,2,reject
5200.0,4800.0,Alice,3,
,,Bob,3,reject
4880.0,5120.0,Bob,4,
,,Alice,4,reject
4368.0,5632.0,Alice,5,
,,Bob,5,reject
5871.52,4128.48,Bob,6,
,,Alice,6,reject
4039.04,5960.96,Alice,7,
,,Bob,7,reject
6675.52,3324.48,Bob,8,
,,Alice,8,reject
4344.32,5655.68,Alice,9,
,,Bob,9,reject
7305.008,2694.992,Bob,10,
,,Alice,10,reject
4287.264,5712.736,Alice,11,
,,Bob,11,reject
7879.008,2120.992,Bob,12,
,,Alice,12,accept
